Position,Mean Velocity 00,Mean Velocity 05,Mean Velocity 15,Fluctuation 00,Fluctuation 05,Fluctuation 15
-40,9.942694245638402,9.789613564827556,11.438849732740316,0.014651404133314876,0.01254018899973312,0.6627221456899592
-36,9.91456026706017,9.781027979737114,11.756849723435089,0.014501670720454515,0.013239087812491371,0.6972988993342899
-32,9.888665900472029,9.78332345742926,11.904175137149156,0.013375950621396376,0.013750434031272862,1.0340584036838774
-28,9.865122548803383,9.768287988869483,11.576092467754435,0.01785971320816105,0.014509123819630756,1.8817940748254884
-24,9.801674325127763,9.748669546925878,8.932245414817015,0.017573290388301382,0.020460927645560636,2.85773093275774
-20,9.791664427221834,9.746382126647246,5.446401207483035,0.03489124265401959,0.05360784581718507,2.9044519317760282
-16,9.752417267041457,9.669288932888074,4.973961492267325,0.09408319547821502,0.3999865817026389,2.663734918221565
-12,9.713391103175478,6.792063990880752,4.6364893740885815,0.31405046035871004,0.8573325954538812,2.1740537449366286
-8,9.333766533963187,8.936226201295142,4.536520556261232,0.8929568044841327,0.7860800488931929,1.9722275973577894
-4,8.571850233703175,9.823460404298459,3.953290414687045,1.0942403439215465,0.15108031246329173,1.9330244412408868
0,9.366954864328449,9.867071225369022,3.63814437006323,1.0058070150397156,0.04675660860798147,2.0330681733120812
4,9.732928032420027,9.916728823108263,3.7317551826484885,0.36043716861749225,0.02395472751693511,2.0046368738623848
8,9.776937283450703,9.94724443654312,4.609761535806298,0.10928460814757884,0.020503677421482402,2.3245920696302864
12,9.802306715428529,10.003248382298395,6.426705980157463,0.04294780375649753,0.014245083229237997,2.570903521022862
16,9.845751592594045,10.030401495782165,8.274920771560856,0.02266309700555005,0.01685233361510046,2.411553044497951
20,9.863392649696216,10.047212909663255,10.513206220261385,0.017847048753921478,0.0145209981437534,1.8015881441891388
24,9.902308845115778,10.07933079940091,11.519468593685186,0.01386613468776499,0.012713001655085885,1.2442451435661532
28,9.934214712022813,10.097099044359748,11.894560198853318,0.015174743341539378,0.011899855272836279,0.8285044239254323
32,9.956279269437902,10.133252009235335,11.895555728830479,0.014081054202698888,0.013932891733590353,0.5210720680884837
36,9.98703202151127,10.154121107433713,11.775755777215723,0.011500826944595316,0.010932647801473523,0.4134019034627576
40,9.983710700774637,10.183117603866332,11.62826259721759,0.012380957306691398,0.01452331566704749,0.32129375222700884
